City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,horta,38.5333,-28.6333,69.03,80,40,17.0,PT,1715528225
136,levanger,63.7464,11.2996,71.65,65,96,2.42,NO,1715528226
137,college,64.8569,-147.8028,44.17,64,75,0.0,US,1715528156
138,tsiombe,-25.3,45.4833,70.63,80,0,4.43,MG,1715528161
139,hirara,24.8,125.2833,80.87,94,75,8.05,JP,1715528226
140,edinburgh of the seven seas,-37.0676,-12.3116,60.6,86,83,13.69,SH,1715528152
141,camana,-16.6228,-72.7111,66.85,77,99,7.07,PE,1715528180
142,vorgashor,67.5833,63.95,22.8,95,19,8.9,RU,1715528159
143,brookings,44.3114,-96.7984,76.37,45,0,16.11,US,1715528019
144,port douglas,-16.4833,145.4667,72.66,84,8,7.34,AU,1715528226
145,fisterra,42.9049,-9.2629,64.74,91,86,8.3,ES,1715528226
146,mahina,-17.5065,-149.489,76.77,78,40,4.61,PF,1715528226
147,cifteler,39.3831,31.0392,47.98,82,100,3.33,TR,1715528226
148,viedma,-40.8135,-62.9967,53.51,50,39,8.93,AR,1715528227
149,fortaleza,-3.7227,-38.5247,88.07,85,40,11.5,BR,1715528163
150,charles city,43.0664,-92.6724,77.99,42,0,13.8,US,1715528227
151,jasper,37.2001,-94.3502,74.95,55,75,5.75,US,1715527488
152,ar rahad,12.7167,30.65,103.21,8,19,2.66,SD,1715528227
153,niquelandia,-14.4739,-48.4597,89.64,28,27,6.13,BR,1715528227
154,val-d'or,48.1002,-77.7828,60.89,48,75,11.5,CA,1715528192
155,remire-montjoly,4.9167,-52.2667,87.84,70,20,14.97,GF,1715528160
156,techiman,7.5862,-1.9414,91.99,46,82,3.94,GH,1715528227
157,touba,8.2833,-7.6833,97.2,35,99,4.52,CI,1715528227
158,manggar,-2.8833,108.2667,81.63,84,98,7.52,ID,1715528227
159,windham,41.8334,-72.0001,58.06,63,100,4.61,US,1715528228
160,tionk essil,12.7856,-16.5217,95.05,41,30,12.91,SN,1715528228
161,lobujya,27.95,86.8167,21.15,89,96,1.54,NP,1715528228
162,madalena,41.2162,-8.3345,70.56,68,84,12.06,PT,1715528228
163,keningau,5.3378,116.1602,73.2,99,39,0.94,MY,1715528228
164,huarmey,-10.0681,-78.1522,67.44,84,98,7.58,PE,1715528145
165,hermanus,-34.4187,19.2345,62.8,67,2,15.7,ZA,1715528146
166,dhali,10.5,77.1667,80.31,72,93,4.72,IN,1715528228
167,as sulayyil,20.4607,45.5779,104.25,13,2,9.19,SA,1715528168
168,chibougamau,49.9168,-74.3659,60.42,36,20,5.75,CA,1715527938
169,xam nua,20.4197,104.0439,67.91,95,40,3.04,LA,1715528228
170,tsengel,49.4783,100.8894,61.34,43,99,5.68,MN,1715528228
171,maumere,-8.6199,122.2111,77.72,85,44,4.97,ID,1715528228
172,puri,19.8,85.85,82.92,82,84,14.67,IN,1715528229
173,kaa-khem,51.6833,94.7333,57.4,53,100,5.93,RU,1715528229
174,tangalle,6.024,80.7911,78.96,84,100,5.79,LK,1715528229
175,tefe,-3.3542,-64.7114,82.51,89,40,8.05,BR,1715528229
176,nasipit,8.9692,125.2947,75.52,87,76,6.22,PH,1715528229
177,chimoio,-19.1164,33.4833,75.06,60,40,7.76,MZ,1715528229
178,mocimboa,-11.3167,40.35,77.5,82,8,8.37,MZ,1715528229
179,stanley,54.868,-1.6985,69.39,69,0,6.91,GB,1715527988
180,thompson,55.7435,-97.8558,35.76,80,75,14.97,CA,1715528152
181,port moresby,-9.4431,147.1797,76.42,78,20,5.75,PG,1715528229
182,quibala,-10.7337,14.98,75.7,47,83,2.86,AO,1715528229
183,lae,-6.7221,146.9847,74.17,91,100,3.15,PG,1715528229
184,bloemfontein,-29.1211,26.214,74.68,12,0,5.75,ZA,1715528151
185,villa gesell,-37.2639,-56.973,55.06,60,100,12.53,AR,1715528227
186,kodinsk,58.6881,99.1844,42.44,64,36,2.21,RU,1715528230
187,mandalgovi,45.7625,106.2708,68.95,13,33,14.34,MN,1715528230
188,mitu,1.1983,-70.1733,91.83,52,47,2.48,CO,1715528230
189,vanimo,-2.6741,141.3028,79.93,90,100,6.46,PG,1715528230
190,kamphaeng phet,16.25,99.5,84.04,67,16,3.78,TH,1715528230
191,mount isa,-20.7333,139.5,65.97,37,0,13.8,AU,1715528164
192,uturoa,-16.7333,-151.4333,81.43,73,5,14.38,PF,1715528161
193,kumasi,6.6885,-1.6244,88.68,58,89,4.34,GH,1715528231
194,chachapoyas,-6.2317,-77.869,70.38,53,60,0.49,PE,1715528209
195,koundara,12.4833,-13.3,110.28,14,22,3.94,GN,1715528231
196,atafu village,-8.5421,-172.5159,84.22,77,51,13.78,TK,1715528166
197,buncrana,55.1333,-7.45,58.77,98,100,4.76,IE,1715528231
198,nishinoomote,30.7333,131.0,72.54,95,100,15.86,JP,1715528231
199,lerwick,60.1545,-1.1494,51.8,87,100,20.27,GB,1715528151
200,el abiodh sidi cheikh,32.893,0.5484,88.56,13,98,19.35,DZ,1715528231
201,hanceville,34.0607,-86.7675,73.89,46,96,5.08,US,1715528231
202,lihue,21.9789,-159.3672,67.35,94,100,9.22,US,1715528145
203,yeppoon,-23.1333,150.7333,68.25,89,1,5.35,AU,1715528231
204,gemena,3.25,19.7667,77.31,86,100,5.17,CD,1715528231
205,ternate,0.8,127.4,81.19,73,96,5.26,ID,1715528231
206,franklin,39.9667,-83.0166,66.52,49,20,10.36,US,1715528174
